기간,자치구,합계,합계,광장녹지,광장녹지,도로변녹지,도로변녹지
기간,자치구,개소,면적,개소,면적,개소,면적
2019,합계,"2,560","5,156,593.17",250,"1,530,193","2,310","3,626,400.17"
2019,종로구,136,"101,678",3,"54,555",133,"47,123"
2019,중구,133,"45,473",-,-,133,"45,473"
2019,용산구,74,"72,736.15",10,"29,505",64,"43,231.15"
2019,성동구,159,"85,197",2,"11,272",157,"73,925"
2019,광진구,67,"123,394.8",15,"87,869",52,"35,525.8"
2019,동대문구,77,"25,328",31,"20,698",46,"4,630"
2019,중랑구,131,"92,652.3",-,-,131,"92,652.3"
2019,성북구,82,"82,382",-,-,82,"82,382"
2019,강북구,70,"23,863",1,769,69,"23,094"
2019,도봉구,175,"84,449",1,"15,780",174,"68,669"
2019,노원구,132,"67,272",42,"15,942",90,"51,330"
2019,은평구,84,"75,724.6",6,"19,546",78,"56,178.6"
2019,서대문구,105,"55,980.32",70,"39,348",35,"16,632.32"
2019,마포구,124,"372,351",10,"144,703",114,"227,648"
2019,양천구,52,"79,445",1,"1,000",51,"78,445"
2019,강서구,62,"689,023",8,"309,328",54,"379,695"
2019,구로구,143,"167,013",1,500,142,"166,513"
2019,금천구,35,"39,521",1,"16,450",34,"23,071"
2019,영등포구,124,"420,444",12,"317,536",112,"102,908"
2019,동작구,62,"64,828",-,-,62,"64,828"
2019,관악구,123,"45,790",-,-,123,"45,790"
2019,서초구,73,"198,703",23,"170,948",50,"27,755"
2019,강남구,114,"178,735",3,"60,352",111,"118,383"
2019,송파구,84,"244,366",-,-,84,"244,366"
2019,강동구,116,"130,455",3,"3,928",113,"126,527"
2019,중부공원녹지사업소,4,"24,742",3,"18,147",1,"6,595"
2019,안전총괄실,19,"1,565,047",4,"192,017",15,"1,373,030"
