동,인구밀도
서울특별시 종로구 사직동,7972 
서울특별시 종로구 삼청동,1952 
서울특별시 종로구 부암동,4552 
서울특별시 종로구 평창동,2095 
서울특별시 종로구 무악동,23867 
서울특별시 종로구 교남동,30383 
서울특별시 종로구 가회동,8181 
서울특별시 종로구 종로1.2.3.4가동,3595 
서울특별시 종로구 종로5·6가동,9427 
서울특별시 종로구 이화동,10399 
서울특별시 종로구 창신1동,19239 
서울특별시 종로구 창신2동,36550 
서울특별시 종로구 창신3동,30900 
서울특별시 종로구 숭인1동,27774 
서울특별시 종로구 숭인2동,29080 
서울특별시 종로구 청운효자동,4916 
서울특별시 종로구 혜화동,17620 
서울특별시 중구 소공동,3169 
서울특별시 중구 회현동,6854 
서울특별시 중구 명동,3722 
서울특별시 중구 필동,4170 
서울특별시 중구 장충동,4021 
서울특별시 중구 광희동,8670 
서울특별시 중구 을지로동,3278 
서울특별시 중구 신당5동,27864 
서울특별시 중구 황학동,41003 
서울특별시 중구 중림동,26669 
서울특별시 중구 신당동,16711 
서울특별시 중구 다산동,28873 
서울특별시 중구 약수동,36154 
서울특별시 중구 청구동,42003 
서울특별시 중구 동화동,41642 
서울특별시 용산구 후암동,21165 
서울특별시 용산구 용산2가동,5751 
서울특별시 용산구 남영동,6820 
서울특별시 용산구 원효로2동,20185 
서울특별시 용산구 효창동,23468 
서울특별시 용산구 용문동,44482 
서울특별시 용산구 이촌1동,10126 
서울특별시 용산구 이촌2동,7220 
서울특별시 용산구 이태원1동,15375 
서울특별시 용산구 이태원2동,12552 
서울특별시 용산구 서빙고동,5000 
서울특별시 용산구 보광동,21875 
서울특별시 용산구 청파동,22523 
서울특별시 용산구 원효로1동,28356 
서울특별시 용산구 한강로동,7620 
서울특별시 용산구 한남동,7894 
서울특별시 성동구 왕십리2동,42478 
서울특별시 성동구 마장동,22342 
서울특별시 성동구 사근동,12284 
서울특별시 성동구 행당1동,24344 
서울특별시 성동구 행당2동,57502 
서울특별시 성동구 응봉동,27761 
서울특별시 성동구 금호1가동,34337 
서울특별시 성동구 금호4가동,17669 
서울특별시 성동구 성수1가1동,8554 
서울특별시 성동구 성수1가2동,15436 
서울특별시 성동구 성수2가1동,14655 
서울특별시 성동구 성수2가3동,11123 
서울특별시 성동구 송정동,14857 
서울특별시 성동구 용답동,5508 
서울특별시 성동구 왕십리도선동,38317 
서울특별시 성동구 금호2.3가동,36850 
서울특별시 성동구 옥수동,13872 
서울특별시 광진구 화양동,22018 
서울특별시 광진구 군자동,29599 
서울특별시 광진구 중곡1동,26113 
서울특별시 광진구 중곡2동,40518 
서울특별시 광진구 중곡3동,28170 
서울특별시 광진구 중곡4동,12851 
서울특별시 광진구 능동,10830 
서울특별시 광진구 구의1동,40536 
서울특별시 광진구 구의2동,19744 
서울특별시 광진구 구의3동,29008 
서울특별시 광진구 광장동,14903 
서울특별시 광진구 자양1동,41596 
서울특별시 광진구 자양2동,15486 
서울특별시 광진구 자양3동,24131 
서울특별시 광진구 자양4동,18557 
서울특별시 동대문구 회기동,16662 
서울특별시 동대문구 휘경1동,24384 
서울특별시 동대문구 휘경2동,23802 
서울특별시 동대문구 청량리동,17027 
서울특별시 동대문구 용신동,20250 
서울특별시 동대문구 제기동,22896 
서울특별시 동대문구 전농1동,25817 
서울특별시 동대문구 전농2동,22615 
서울특별시 동대문구 답십리2동,34689 
서울특별시 동대문구 장안1동,31430 
서울특별시 동대문구 장안2동,30586 
서울특별시 동대문구 이문1동,20389 
서울특별시 동대문구 이문2동,30358 
서울특별시 중랑구 면목2동,32745 
서울특별시 중랑구 면목4동,22149 
서울특별시 중랑구 면목5동,20944 
서울특별시 중랑구 면목7동,18928 
서울특별시 중랑구 상봉1동,28309 
서울특별시 중랑구 상봉2동,31098 
서울특별시 중랑구 중화1동,31875 
서울특별시 중랑구 중화2동,25815 
서울특별시 중랑구 묵1동,29657 
서울특별시 중랑구 묵2동,29361 
서울특별시 중랑구 망우3동,19030 
서울특별시 중랑구 신내1동,15559 
서울특별시 중랑구 신내2동,22905 
서울특별시 중랑구 면목본동,42171 
서울특별시 중랑구 면목3.8동,15948 
서울특별시 중랑구 망우본동,10160 
서울특별시 성북구 돈암1동,31386 
서울특별시 성북구 돈암2동,51429 
서울특별시 성북구 안암동,12466 
서울특별시 성북구 보문동,28791 
서울특별시 성북구 정릉1동,43020 
서울특별시 성북구 정릉2동,20287 
서울특별시 성북구 정릉3동,4541 
서울특별시 성북구 정릉4동,8304 
서울특별시 성북구 길음1동,46289 
서울특별시 성북구 길음2동,29598 
서울특별시 성북구 월곡1동,33467 
서울특별시 성북구 월곡2동,14997 
서울특별시 성북구 장위1동,29213 
서울특별시 성북구 장위2동,21054 
서울특별시 성북구 장위3동,26706 
서울특별시 성북구 성북동,6085 
서울특별시 성북구 삼선동,26243 
서울특별시 성북구 동선동,22255 
서울특별시 성북구 종암동,28324 
서울특별시 성북구 석관동,21088 
서울특별시 강북구 번1동,29456 
서울특별시 강북구 번2동,17415 
서울특별시 강북구 번3동,16005 
서울특별시 강북구 수유1동,12855 
서울특별시 강북구 수유2동,37886 
서울특별시 강북구 수유3동,33204 
서울특별시 강북구 삼양동,27189 
서울특별시 강북구 미아동,24433 
서울특별시 강북구 송중동,30628 
서울특별시 강북구 송천동,30968 
서울특별시 강북구 삼각산동,51803 
서울특별시 강북구 우이동,2050 
서울특별시 강북구 인수동,9617 
서울특별시 도봉구 쌍문1동,17755 
서울특별시 도봉구 쌍문2동,35937 
서울특별시 도봉구 쌍문3동,33844 
서울특별시 도봉구 쌍문4동,37110 
서울특별시 도봉구 방학1동,42371 
서울특별시 도봉구 방학2동,27666 
서울특별시 도봉구 방학3동,10677 
서울특별시 도봉구 창1동,28864 
서울특별시 도봉구 창2동,28488 
서울특별시 도봉구 창3동,21496 
서울특별시 도봉구 창4동,28722 
서울특별시 도봉구 창5동,36154 
서울특별시 도봉구 도봉1동,2501 
서울특별시 노원구 월계1동,19901 
서울특별시 노원구 월계2동,14235 
서울특별시 노원구 월계3동,26316 
서울특별시 노원구 공릉2동,5918 
서울특별시 노원구 하계1동,18042 
서울특별시 노원구 하계2동,44555 
서울특별시 노원구 중계본동,12661 
서울특별시 노원구 중계1동,43740 
서울특별시 노원구 중계4동,12207 
서울특별시 노원구 상계1동,6976 
서울특별시 노원구 상계2동,33921 
서울특별시 노원구 상계5동,56357 
서울특별시 노원구 상계8동,34273 
서울특별시 노원구 상계9동,26199 
서울특별시 노원구 상계10동,22039 
서울특별시 노원구 상계3.4동,4837 
서울특별시 노원구 상계6.7동,30308 
서울특별시 노원구 중계2.3동,39540 
서울특별시 노원구 공릉1동,27180 
서울특별시 은평구 녹번동,21126 
서울특별시 은평구 불광1동,12787 
서울특별시 은평구 갈현1동,24120 
서울특별시 은평구 갈현2동,30457 
서울특별시 은평구 구산동,23911 
서울특별시 은평구 대조동,32446 
서울특별시 은평구 응암1동,26054 
서울특별시 은평구 응암2동,35610 
서울특별시 은평구 신사1동,33067 
서울특별시 은평구 신사2동,20945 
서울특별시 은평구 증산동,19120 
서울특별시 은평구 수색동,8727 
서울특별시 은평구 진관동,4966 
서울특별시 은평구 불광2동,20826 
서울특별시 은평구 응암3동,40560 
서울특별시 은평구 역촌동,40465 
서울특별시 서대문구 천연동,18607 
서울특별시 서대문구 홍제1동,20003 
서울특별시 서대문구 홍제3동,15222 
서울특별시 서대문구 홍제2동,17696 
서울특별시 서대문구 홍은1동,14725 
서울특별시 서대문구 홍은2동,13463 
서울특별시 서대문구 남가좌1동,31649 
서울특별시 서대문구 남가좌2동,40255 
서울특별시 서대문구 북가좌1동,33740 
서울특별시 서대문구 북가좌2동,39223 
서울특별시 서대문구 충현동,18954 
서울특별시 서대문구 북아현동,36861 
서울특별시 서대문구 신촌동,8765 
서울특별시 서대문구 연희동,12821 
서울특별시 마포구 용강동,26496 
서울특별시 마포구 대흥동,18233 
서울특별시 마포구 염리동,29236 
서울특별시 마포구 신수동,30264 
서울특별시 마포구 서교동,16352 
서울특별시 마포구 합정동,10800 
서울특별시 마포구 망원1동,18684 
서울특별시 마포구 망원2동,28681 
서울특별시 마포구 연남동,26066 
서울특별시 마포구 성산1동,24599 
서울특별시 마포구 성산2동,19647 
서울특별시 마포구 상암동,3809 
서울특별시 마포구 도화동,35481 
서울특별시 마포구 서강동,17508 
서울특별시 마포구 공덕동,38366 
서울특별시 마포구 아현동,34501 
서울특별시 양천구 목1동,22501 
서울특별시 양천구 목2동,29811 
서울특별시 양천구 목3동,42723 
서울특별시 양천구 목4동,45947 
서울특별시 양천구 신월1동,32686 
서울특별시 양천구 신월2동,35279 
서울특별시 양천구 신월3동,18351 
서울특별시 양천구 신월4동,35552 
서울특별시 양천구 신월5동,22013 
서울특별시 양천구 신월6동,33654 
서울특별시 양천구 신월7동,17354 
서울특별시 양천구 신정1동,30106 
서울특별시 양천구 신정2동,38860 
서울특별시 양천구 신정3동,17201 
서울특별시 양천구 신정6동,26081 
서울특별시 양천구 신정7동,24855 
서울특별시 양천구 목5동,23364 
서울특별시 양천구 신정4동,33852 
서울특별시 강서구 염창동,24148 
서울특별시 강서구 등촌1동,38028 
서울특별시 강서구 등촌2동,23061 
서울특별시 강서구 등촌3동,40076 
서울특별시 강서구 화곡본동,35695 
서울특별시 강서구 화곡2동,41616 
서울특별시 강서구 화곡3동,41392 
서울특별시 강서구 화곡4동,26113 
서울특별시 강서구 화곡6동,22642 
서울특별시 강서구 화곡8동,48442 
서울특별시 강서구 가양1동,7349 
서울특별시 강서구 가양2동,14588 
서울특별시 강서구 가양3동,31166 
서울특별시 강서구 발산1동,12765 
서울특별시 강서구 공항동,2542 
서울특별시 강서구 방화1동,30101 
서울특별시 강서구 방화2동,3657 
서울특별시 강서구 방화3동,9246 
서울특별시 강서구 화곡1동,47661 
서울특별시 강서구 우장산동,32343 
서울특별시 구로구 신도림동,24826 
서울특별시 구로구 구로1동,21208 
서울특별시 구로구 구로3동,25218 
서울특별시 구로구 구로4동,54415 
서울특별시 구로구 구로5동,31397 
서울특별시 구로구 고척1동,20299 
서울특별시 구로구 고척2동,27307 
서울특별시 구로구 개봉2동,40273 
서울특별시 구로구 개봉3동,26277 
서울특별시 구로구 오류1동,39593 
서울특별시 구로구 수궁동,9100 
서울특별시 구로구 가리봉동,35658 
서울특별시 구로구 구로2동,18778 
서울특별시 구로구 개봉1동,26900 
서울특별시 구로구 오류2동,12423 
서울특별시 구로구 항동,11717 
서울특별시 금천구 가산동,10307 
서울특별시 금천구 독산1동,21144 
서울특별시 금천구 독산2동,34443 
서울특별시 금천구 독산3동,31016 
서울특별시 금천구 독산4동,29600 
서울특별시 금천구 시흥1동,20925 
서울특별시 금천구 시흥2동,17533 
서울특별시 금천구 시흥3동,10547 
서울특별시 금천구 시흥4동,24736 
서울특별시 금천구 시흥5동,14624 
서울특별시 영등포구 여의동,4103 
서울특별시 영등포구 당산1동,28263 
서울특별시 영등포구 당산2동,24523 
서울특별시 영등포구 양평1동,20116 
서울특별시 영등포구 양평2동,7534 
서울특별시 영등포구 신길1동,29041 
서울특별시 영등포구 신길3동,34781 
서울특별시 영등포구 신길4동,34142 
서울특별시 영등포구 신길5동,26587 
서울특별시 영등포구 신길6동,29340 
서울특별시 영등포구 신길7동,32022 
서울특별시 영등포구 대림1동,36227 
서울특별시 영등포구 대림2동,35956 
서울특별시 영등포구 대림3동,28393 
서울특별시 영등포구 영등포본동,23324 
서울특별시 영등포구 영등포동,22817 
서울특별시 영등포구 도림동,23219 
서울특별시 동작구 노량진2동,21113 
서울특별시 동작구 상도1동,31020 
서울특별시 동작구 상도2동,28737 
서울특별시 동작구 상도3동,42360 
서울특별시 동작구 상도4동,39075 
서울특별시 동작구 사당1동,29914 
서울특별시 동작구 사당3동,27439 
서울특별시 동작구 사당4동,38418 
서울특별시 동작구 사당5동,25984 
서울특별시 동작구 대방동,25272 
서울특별시 동작구 신대방1동,41650 
서울특별시 동작구 신대방2동,19870 
서울특별시 동작구 흑석동,20562 
서울특별시 동작구 노량진1동,20498 
서울특별시 동작구 사당2동,10057 
서울특별시 관악구 보라매동,33261 
서울특별시 관악구 청림동,52370 
서울특별시 관악구 행운동,41388 
서울특별시 관악구 낙성대동,7744 
서울특별시 관악구 중앙동,40405 
서울특별시 관악구 인헌동,24537 
서울특별시 관악구 남현동,5687 
서울특별시 관악구 서원동,36254 
서울특별시 관악구 신원동,35073 
서울특별시 관악구 서림동,24657 
서울특별시 관악구 신사동,39728 
서울특별시 관악구 신림동,41976 
서울특별시 관악구 난향동,19894 
서울특별시 관악구 조원동,28704 
서울특별시 관악구 대학동,3001 
서울특별시 관악구 은천동,44353 
서울특별시 관악구 성현동,44812 
서울특별시 관악구 청룡동,30784 
서울특별시 관악구 난곡동,29223 
서울특별시 관악구 삼성동,8998 
서울특별시 관악구 미성동,23034 
서울특별시 서초구 서초1동,14920 
서울특별시 서초구 서초2동,17525 
서울특별시 서초구 서초3동,11026 
서울특별시 서초구 서초4동,36043 
서울특별시 서초구 잠원동,16211 
서울특별시 서초구 반포본동,11872 
서울특별시 서초구 반포1동,32630 
서울특별시 서초구 반포2동,12030 
서울특별시 서초구 반포3동,17509 
서울특별시 서초구 반포4동,13970 
서울특별시 서초구 방배본동,31781 
서울특별시 서초구 방배1동,24830 
서울특별시 서초구 방배2동,10572 
서울특별시 서초구 방배3동,8934 
서울특별시 서초구 방배4동,24527 
서울특별시 서초구 양재1동,7793 
서울특별시 서초구 양재2동,2996 
서울특별시 서초구 내곡동,1431 
서울특별시 강남구 신사동,8949 
서울특별시 강남구 논현1동,18987 
서울특별시 강남구 논현2동,14964 
서울특별시 강남구 삼성1동,7010 
서울특별시 강남구 삼성2동,24490 
서울특별시 강남구 대치1동,31547 
서울특별시 강남구 대치4동,28416 
서울특별시 강남구 역삼1동,15647 
서울특별시 강남구 역삼2동,32427 
서울특별시 강남구 도곡1동,21791 
서울특별시 강남구 도곡2동,33375 
서울특별시 강남구 개포1동,5252 
서울특별시 강남구 개포4동,15279 
서울특별시 강남구 일원본동,9281 
서울특별시 강남구 일원1동,17203 
서울특별시 강남구 일원2동,14281 
서울특별시 강남구 수서동,10699 
서울특별시 강남구 세곡동,6993 
서울특별시 강남구 압구정동,10846 
서울특별시 강남구 청담동,11702 
서울특별시 강남구 대치2동,18876 
서울특별시 강남구 개포2동,8883 
서울특별시 송파구 풍납1동,18942 
서울특별시 송파구 풍납2동,16165 
서울특별시 송파구 거여1동,25641 
서울특별시 송파구 거여2동,36472 
서울특별시 송파구 마천1동,34326 
서울특별시 송파구 마천2동,22156 
서울특별시 송파구 방이1동,32596 
서울특별시 송파구 방이2동,33344 
서울특별시 송파구 오륜동,5834 
서울특별시 송파구 오금동,24041 
서울특별시 송파구 송파1동,31886 
서울특별시 송파구 송파2동,39245 
서울특별시 송파구 석촌동,34912 
서울특별시 송파구 삼전동,33515 
서울특별시 송파구 가락본동,24219 
서울특별시 송파구 가락1동,20803 
서울특별시 송파구 가락2동,34588 
서울특별시 송파구 문정1동,37264 
서울특별시 송파구 문정2동,13430 
서울특별시 송파구 잠실본동,30950 
서울특별시 송파구 잠실4동,13973 
서울특별시 송파구 잠실6동,6224 
서울특별시 송파구 잠실7동,16505 
서울특별시 송파구 잠실2동,16613 
서울특별시 송파구 잠실3동,23823 
서울특별시 송파구 장지동,22168 
서울특별시 송파구 위례동,11908 
서울특별시 강동구 강일동,12778 
서울특별시 강동구 상일동,12583 
서울특별시 강동구 명일1동,43241 
서울특별시 강동구 명일2동,18098 
서울특별시 강동구 고덕1동,15088 
서울특별시 강동구 고덕2동,11228 
서울특별시 강동구 암사2동,13142 
서울특별시 강동구 암사3동,7339 
서울특별시 강동구 천호1동,39077 
서울특별시 강동구 천호3동,34285 
서울특별시 강동구 성내1동,35091 
서울특별시 강동구 성내2동,37236 
서울특별시 강동구 성내3동,33369 
서울특별시 강동구 둔촌1동,285 
서울특별시 강동구 둔촌2동,26952 
서울특별시 강동구 암사1동,35027 
서울특별시 강동구 천호2동,22453 
서울특별시 강동구 길동,21598 
