군구명,생활계 폐기물 (톤)_발생량,생활계 폐기물 (톤)_재활용,사업장 배출시설계 폐기물 (톤)_발생량,사업장 배출시설계 폐기물 (톤)_재활용,건설 폐기물 (톤)_발생량,건설 폐기물 (톤)_재활용,지정 폐기물 (톤)_발생량,지정 폐기물 (톤)_재활용
중구,263.5,113.2,849.8,689.5,1144.4,1123.1,71.8,37.1
동구,59.5,35.6,2811.9,2728.4,571.6,567.4,245.1,240.1
미추홀구,310.6,163.9,202.7,193.5,2335.7,2319.3,34.2,23.3
연수구,237.4,168.4,124.6,68,1148.1,1103.5,29,9.7
남동구,469.3,307.4,532.7,342.4,837.9,817.6,196.8,117.8
부평구,416.3,209.5,167.5,65.9,3484.8,3474.7,34.5,20.4
계양구,228.4,136.7,343.4,338,402.6,393.6,5.6,0.9
서구,506.8,266.2,3392.4,1078.2,3645.3,3562.2,362.6,141.1
강화군,130.2,88.1,56,48.8,507.1,506.4,984,591.7
옹진군,20.1,12.2,3910.4,3762.9,354.8,347.9,1.3,0.8
경제자유구역청,356.9,98.8,208.4,171.9,0,0,0,0
